Nama,Latitude,Longitude
ASKARA Farm,-7.734743716,110.4200834
Ayam Rashid,-7.745883023,110.3266539
D'Chicken Farm,-7.658310039,110.438908
Peternakan Ayam Karangmojo,-7.721427525,110.4468693
Ternak ayam,-7.790057093,110.4174126
Peternakan Ayam Laga,-7.905203229,110.2995856
KJF Yogyakarta Peternakan ayam laga,-7.885488691,110.3624797
GENDUT FARM,-7.734838781,110.2764979
Ayam KUB Sleman,-7.690658925,110.3537223
Kandang Paja Sidoarum,-7.741938685,110.321081
Ayam Petelur 'Abang AE',-7.680095008,110.4082872
Arifin Farm,-7.615184895,110.3682764
Ayam Pak Irwan,-7.64260438,110.3469962
Ternak Ayam Kampung (KUB),-7.653149868,110.3735965
